
Kokkos::Cuda::initialize WARNING: Cuda is allocating into UVMSpace by default
                                  without setting CUDA_LAUNCH_BLOCKING=1.
                                  The code must call Cuda().fence() after each kernel
                                  or will likely crash when accessing data on the host.
0.0135439 0.0218591 0.00481012 size   885000 91993.5 MUPD/s or  735.948 GB/s
0.0136526 0.0218262 0.00476764 size   889000 93232.7 MUPD/s or  745.861 GB/s
0.0136325 0.0220982 0.00486618 size   893000 91755.8 MUPD/s or  734.046 GB/s
0.0137294 0.0220731 0.0048496 size   897000 92481.9 MUPD/s or  739.855 GB/s
0.0138249 0.0222773 0.00489388 size   901000 92053.8 MUPD/s or   736.43 GB/s
0.013794 0.0221376 0.00483016 size   905000 93682.1 MUPD/s or  749.457 GB/s
0.0137047 0.0219442 0.00491819 size   909000 92412 MUPD/s or  739.296 GB/s
0.0138754 0.0221479 0.00491951 size   913000 92793.8 MUPD/s or   742.35 GB/s
0.0139071 0.022296 0.00494359 size   917000 92746.4 MUPD/s or  741.971 GB/s
0.0140992 0.0223959 0.00501368 size   921000 91848.7 MUPD/s or   734.79 GB/s
0.0140938 0.0224631 0.00503316 size   925000 91890.6 MUPD/s or  735.125 GB/s
0.0140718 0.0226405 0.00523095 size   929000 88798.5 MUPD/s or  710.388 GB/s
0.0142209 0.02275 0.00506597 size   933000 92085.1 MUPD/s or  736.681 GB/s
0.014226 0.0230227 0.00531276 size   937000 88184 MUPD/s or  705.472 GB/s
0.0144254 0.0232988 0.00517329 size   941000 90948 MUPD/s or  727.584 GB/s
0.014474 0.0233313 0.00529333 size   945000 89263.3 MUPD/s or  714.107 GB/s
0.0145191 0.0234335 0.00518587 size   949000 91498.6 MUPD/s or  731.989 GB/s
0.0145663 0.0234199 0.0052481 size   953000 90794.8 MUPD/s or  726.358 GB/s
0.0146682 0.0236737 0.00519251 size   957000 92152 MUPD/s or  737.216 GB/s
0.0147359 0.0239549 0.00520086 size   961000 92388.5 MUPD/s or  739.108 GB/s
0.0147163 0.0242743 0.00527051 size   965000 91547.1 MUPD/s or  732.377 GB/s
0.0148992 0.0243806 0.00528686 size   969000 91642.2 MUPD/s or  733.138 GB/s
0.014865 0.0242393 0.00534157 size   973000 91078.2 MUPD/s or  728.625 GB/s
0.0149443 0.0243247 0.00540639 size   977000 90356 MUPD/s or  722.848 GB/s
0.0150039 0.0243208 0.00539575 size   981000 90904.8 MUPD/s or  727.238 GB/s
0.0150915 0.0246783 0.00543814 size   985000 90564.1 MUPD/s or  724.513 GB/s
0.0152197 0.0248783 0.00545147 size   989000 90709.5 MUPD/s or  725.676 GB/s
0.0153002 0.0253095 0.00536839 size   993000 92485.9 MUPD/s or  739.887 GB/s
0.0155616 0.0253952 0.00539449 size   997000 92409.1 MUPD/s or  739.273 GB/s
0.0156103 0.0254656 0.00543374 size  1001000 92109.6 MUPD/s or  736.877 GB/s
0.0157138 0.0255071 0.0053921 size  1005000 93191.9 MUPD/s or  745.535 GB/s
0.0157062 0.0255097 0.00547532 size  1009000 92140.8 MUPD/s or  737.126 GB/s
0.0158392 0.0256238 0.00546472 size  1013000 92685.4 MUPD/s or  741.483 GB/s
0.0157214 0.0255741 0.00543005 size  1017000 93645.6 MUPD/s or  749.165 GB/s
0.0157542 0.0256443 0.00559636 size  1021000 91220 MUPD/s or   729.76 GB/s
0.0157948 0.0257813 0.00554784 size  1025000 92378.2 MUPD/s or  739.026 GB/s
0.0158358 0.0258946 0.00555329 size  1029000 92647.7 MUPD/s or  741.182 GB/s
0.0159359 0.0257883 0.0055391 size  1033000 93246.2 MUPD/s or  745.969 GB/s
0.016109 0.0260907 0.00567927 size  1037000 91297 MUPD/s or  730.376 GB/s
0.0160602 0.0261965 0.0060512 size  1041000 86015.9 MUPD/s or  688.128 GB/s
0.0160832 0.0262499 0.00653023 size  1045000 80012.5 MUPD/s or    640.1 GB/s
0.0162227 0.0263983 0.00717723 size  1049000 73078.3 MUPD/s or  584.626 GB/s
0.0162201 0.0264378 0.006704 size  1053000 78535.2 MUPD/s or  628.282 GB/s
0.0162258 0.0263409 0.0064771 size  1057000 81595.1 MUPD/s or  652.761 GB/s
0.0162021 0.0260852 0.00594386 size  1061000 89251.7 MUPD/s or  714.014 GB/s
0.0162866 0.0261887 0.00572937 size  1065000 92942.1 MUPD/s or  743.537 GB/s
0.0162524 0.0262533 0.00578314 size  1069000 92423.8 MUPD/s or  739.391 GB/s
0.0163531 0.026356 0.00580651 size  1073000 92396.2 MUPD/s or   739.17 GB/s
0.0164593 0.0265129 0.00587457 size  1077000 91666.3 MUPD/s or   733.33 GB/s
0.016496 0.026618 0.00578996 size  1081000 93351.3 MUPD/s or   746.81 GB/s
0.0165534 0.0266848 0.00587972 size  1085000 92266.2 MUPD/s or   738.13 GB/s
0.0166134 0.0268492 0.00590111 size  1089000 92270.7 MUPD/s or  738.166 GB/s
0.0166826 0.0268701 0.00595044 size  1093000 91842 MUPD/s or  734.736 GB/s
0.0166901 0.0269742 0.00590026 size  1097000 92961.9 MUPD/s or  743.696 GB/s
0.0167793 0.027187 0.00596239 size  1101000 92328.8 MUPD/s or   738.63 GB/s
0.0169008 0.0271616 0.00598831 size  1105000 92263.1 MUPD/s or  738.105 GB/s
0.0169069 0.027346 0.00612456 size  1109000 90537.1 MUPD/s or  724.297 GB/s
0.0171193 0.0278552 0.00619351 size  1113000 89852.2 MUPD/s or  718.817 GB/s
0.0172744 0.0280968 0.00618153 size  1117000 90349.8 MUPD/s or  722.799 GB/s
0.0172882 0.0281653 0.00611922 size  1121000 91596.6 MUPD/s or  732.773 GB/s
0.0173107 0.0283925 0.00628317 size  1125000 89524.9 MUPD/s or  716.199 GB/s
0.017491 0.0283877 0.00626801 size  1129000 90060.5 MUPD/s or  720.484 GB/s
0.017494 0.0284419 0.00618664 size  1133000 91568.2 MUPD/s or  732.546 GB/s
0.0175743 0.0286154 0.00620845 size  1137000 91568.7 MUPD/s or   732.55 GB/s
0.0174851 0.0285052 0.00621892 size  1141000 91736.2 MUPD/s or   733.89 GB/s
0.0174072 0.0284243 0.0064388 size  1145000 88914.1 MUPD/s or  711.313 GB/s
0.0177569 0.0287641 0.0064021 size  1149000 89736.2 MUPD/s or  717.889 GB/s
0.0177863 0.0287578 0.0062437 size  1153000 92333 MUPD/s or  738.664 GB/s
0.0176622 0.028692 0.00629107 size  1157000 91955.8 MUPD/s or  735.646 GB/s
0.0177269 0.0288837 0.00640795 size  1161000 90590.5 MUPD/s or  724.724 GB/s
0.0178871 0.0287881 0.00637058 size  1165000 91435.9 MUPD/s or  731.487 GB/s
0.0178471 0.0290156 0.00629354 size  1169000 92873.1 MUPD/s or  742.985 GB/s
0.0183965 0.0294112 0.00635429 size  1173000 92299.9 MUPD/s or  738.399 GB/s
0.018136 0.0295554 0.00631534 size  1177000 93185.7 MUPD/s or  745.486 GB/s
0.0181565 0.0296495 0.00639277 size  1181000 92370 MUPD/s or   738.96 GB/s
0.0182407 0.0296845 0.00633503 size  1185000 93527.6 MUPD/s or  748.221 GB/s
0.0182863 0.029984 0.0064026 size  1189000 92852.9 MUPD/s or  742.823 GB/s
0.0184274 0.0298461 0.00640689 size  1193000 93102.8 MUPD/s or  744.823 GB/s
0.0184354 0.0301405 0.00634386 size  1197000 94343.2 MUPD/s or  754.746 GB/s
0.0184797 0.0300701 0.00655972 size  1201000 91543.6 MUPD/s or  732.349 GB/s
0.0185803 0.0302824 0.0065884 size  1205000 91448.6 MUPD/s or  731.589 GB/s
0.0186695 0.0303474 0.00659273 size  1209000 91691.8 MUPD/s or  733.535 GB/s
